模型,量化,λ,裸熵,裸重,回熵,回重,回命中,熵变化,判定
Qwen2.5-0.5B,fp16,0.50,1.71,0.008,2.18,0.240,0.180,+27%,✅有效
Qwen2.5-0.5B,4bit,0.50,1.94,0.014,1.91,0.392,0.162,-2%,⚠️4bit偏强
Qwen2.5-1.5B,fp16,0.08,1.61,0.007,2.28,0.053,0.159,+42%,✅有效稳定
Qwen2.5-1.5B,4bit,0.08,1.63,0.010,2.09,0.126,0.215,+28%,✅有效
Qwen2.5-3B,fp16,0.10,1.34,0.035,1.94,0.129,0.154,+45%,✅有效
Qwen2.5-3B,4bit,0.10,1.47,0.024,2.10,0.150,0.161,+43%,✅有效
Qwen2.5-7B,4bit,0.06,1.17,0.039,1.69,0.029,0.161,+45%,✅最稳
Qwen3-1.7B,fp16,0.10,1.05,0.073,0.36,0.858,0.163,-66%,❌坍缩
Qwen3-1.7B,4bit,0.10,1.19,0.088,0.32,0.886,0.194,-73%,❌坍缩
Qwen3-0.6B,fp16,0.41,1.51,0.070,0.40,0.890,0.213,-74%,❌坍缩
Qwen3-0.6B,4bit,0.41,1.76,0.035,0.55,0.854,0.199,-69%,❌坍缩
Qwen3-4B,fp16,0.098,0.81,0.059,1.22,0.183,0.116,+51%,✅有效
Qwen3-4B,4bit,0.098,0.81,0.075,1.26,0.187,0.129,+56%,✅有效
SmolLM2-1.7B,fp16,0.10,0.99,0.052,0.89,0.454,0.109,-10%,⚠️回响偏强
SmolLM2-1.7B,4bit,0.10,1.04,0.098,0.92,0.480,0.137,-12%,⚠️回响偏强
gemma-2-2b,fp16,0.109,0.99,0.020,1.01,0.415,0.411,+2%,⚠️命中率最高
gemma-2-2b,4bit,0.109,1.06,0.021,0.97,0.474,0.419,-8%,⚠️同左
Phi-3.5-mini,fp16,0.082,0.86,0.037,1.33,0.038,0.0003,+56%,✅中文命中≈0
Phi-3.5-mini,4bit,0.082,0.95,0.045,1.44,0.047,0.0003,+51%,✅中文命中≈0
