配置,提示词,区间,平均熵,重复率
固定λ(无衰减),开心,0-256,1.8542,0.1225
固定λ(无衰减),开心,256-512,0.0504,0.9407
固定λ(无衰减),开心,512-1024,0.0139,0.9705
固定λ(无衰减),开心,1024-2048,0.0155,0.9853
λ步数衰减(激进稳定),开心,0-256,4.0176,0.0
λ步数衰减(激进稳定),开心,256-512,4.6985,0.0
λ步数衰减(激进稳定),开心,512-1024,4.9488,0.0
λ步数衰减(激进稳定),开心,1024-2048,5.2986,0.0
λ步数衰减(激进稳定),悲伤,0-256,3.9644,0.0
λ步数衰减(激进稳定),悲伤,256-512,3.8827,0.1383
λ步数衰减(激进稳定),悲伤,512-1024,4.5461,0.0177
λ步数衰减(激进稳定),悲伤,1024-2048,4.6036,0.0118
λ步数衰减(激进稳定),中性,0-256,2.4341,0.004
λ步数衰减(激进稳定),中性,256-512,3.1596,0.0
λ步数衰减(激进稳定),中性,512-1024,3.8612,0.0098
λ步数衰减(激进稳定),中性,1024-2048,3.589,0.0127
