轮次,维度,提示词,显存MB,峰值显存MB,延迟秒,熵,重复率,状态,错误
1,开心,你今天真好看,6367.1,6387.4,14.71,1.051,0.144,成功,
2,开心,终于等到你了，我好开心,6367.1,6387.8,15.28,1.2191,0.016,成功,
3,开心,今天的中标消息让我兴奋得睡不着,6367.1,6387.9,15.06,0.7294,0.064,成功,
4,悲伤,一切都结束了,6367.1,6387.9,14.36,1.6344,0.016,成功,
5,悲伤,他走了，再也不会回来了,6367.1,6387.9,14.13,1.0251,0.048,成功,
6,悲伤,我好像再也找不到活下去的意义了,6367.1,6387.9,14.67,1.3415,0.008,成功,
7,愤怒,你凭什么这么说我,6367.1,6387.9,14.39,1.0589,0.048,成功,
8,愤怒,这个结果简直是荒谬至极,6367.1,6387.9,14.3,1.2797,0.016,成功,
9,愤怒,我受够了你们的欺骗和背叛,6367.1,6387.9,14.54,1.5551,0.064,成功,
10,中性,今天天气不错,6367.1,6387.9,14.63,1.4506,0.0,成功,
11,中性,我想了解一下这个产品的功能,6367.1,6387.9,14.34,1.4297,0.032,成功,
12,中性,请问地铁站怎么走,6367.1,6387.9,14.23,1.1929,0.0,成功,
13,复杂混合,虽然赢了比赛，但我最好的朋友受伤了,6367.1,6388.0,14.42,1.3446,0.12,成功,
14,复杂混合,我爱我的工作，但是工资真的太低了,6367.1,6388.0,14.12,1.207,0.096,成功,
15,复杂混合,你给了我这么多帮助，我却没办法回报你,6367.1,6388.0,14.44,0.7233,0.28,成功,
16,开心,你今天真好看,6367.1,6388.0,14.47,1.4707,0.008,成功,
17,开心,终于等到你了，我好开心,6367.1,6388.0,14.64,1.414,0.04,成功,
18,开心,今天的中标消息让我兴奋得睡不着,6367.1,6388.0,14.4,1.3142,0.032,成功,
19,悲伤,一切都结束了,6367.1,6388.0,14.51,1.6955,0.0,成功,
20,悲伤,他走了，再也不会回来了,6367.1,6388.0,14.17,1.1743,0.016,成功,
21,悲伤,我好像再也找不到活下去的意义了,6367.1,6388.0,14.61,1.4801,0.0,成功,
22,愤怒,你凭什么这么说我,6367.1,6388.0,14.15,0.9118,0.128,成功,
23,愤怒,这个结果简直是荒谬至极,6367.1,6388.0,14.31,1.5331,0.088,成功,
24,愤怒,我受够了你们的欺骗和背叛,6367.1,6388.0,14.16,1.4618,0.016,成功,
25,中性,今天天气不错,6367.1,6388.0,14.31,0.9486,0.008,成功,
26,中性,我想了解一下这个产品的功能,6367.1,6388.0,14.17,0.9583,0.016,成功,
27,中性,请问地铁站怎么走,6367.1,6388.0,14.0,1.0035,0.04,成功,
28,复杂混合,虽然赢了比赛，但我最好的朋友受伤了,6367.1,6388.0,14.34,1.3733,0.192,成功,
29,复杂混合,我爱我的工作，但是工资真的太低了,6367.1,6388.0,14.14,1.9618,0.016,成功,
30,复杂混合,你给了我这么多帮助，我却没办法回报你,6367.1,6388.0,14.47,1.1722,0.0,成功,
31,开心,你今天真好看,6367.1,6388.0,14.01,1.5572,0.0,成功,
32,开心,终于等到你了，我好开心,6367.1,6388.0,14.03,0.877,0.0,成功,
33,开心,今天的中标消息让我兴奋得睡不着,6367.1,6388.0,14.13,1.2146,0.016,成功,
34,悲伤,一切都结束了,6367.1,6388.0,14.34,2.3127,0.0,成功,
35,悲伤,他走了，再也不会回来了,6367.1,6388.0,14.0,1.2606,0.048,成功,
36,悲伤,我好像再也找不到活下去的意义了,6367.1,6388.0,14.46,1.2201,0.0,成功,
37,愤怒,你凭什么这么说我,6367.1,6388.0,14.19,1.2944,0.0,成功,
38,愤怒,这个结果简直是荒谬至极,6367.1,6388.0,14.31,1.7404,0.04,成功,
39,愤怒,我受够了你们的欺骗和背叛,6367.1,6388.0,14.51,1.4315,0.016,成功,
40,中性,今天天气不错,6367.1,6388.0,14.03,1.4935,0.008,成功,
41,中性,我想了解一下这个产品的功能,6367.1,6388.0,14.43,1.1108,0.056,成功,
